,2014-06-30,2014-07-31,2014-08-28,2014-09-30,2014-10-31,2014-11-28,2014-12-31,2015-01-30,2015-02-27,2015-03-31,2015-04-30,2015-05-29,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-30,2015-11-30,2015-12-31,2016-01-29,2016-02-29,2016-03-31,2016-04-29,2016-05-31,2016-06-30,2016-07-29,2016-08-31,2016-09-30,2016-10-28,2016-11-30,2016-12-30,2017-01-31,2017-02-28,2017-03-31,2017-04-28,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-29,2017-10-31,2017-11-30,2017-12-29,2018-01-31,2018-02-28,2018-03-28,2018-04-30,2018-05-31,2018-06-29,2018-07-31,2018-08-31,2018-09-28,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-28,2019-04-30,2019-05-31,2019-06-28,2019-07-31,2019-08-30,2019-09-30,2019-10-31,2019-11-29,2019-12-31,2020-01-31,2020-02-28,2020-03-31,2020-04-30,2020-05-29,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-30,2020-11-27,2020-12-31,2021-01-29,2021-02-26
HINDPETRO,,,-0.3034671058998856,-0.39179959081983357,-0.35764771099633025,-0.32610654502020164,-0.5533875144997762,-0.25766312744316106,-0.5010408907692467,-0.4059289193524466,-0.4790799637297636,-0.37600856410943,-0.35955890217747283,-0.21057866414179416,-0.5419971552013946,-0.4904401376238808,-0.42254527826651617,-0.3193449573011996,-0.41343583599726946,-0.43539431485041236,-0.5586766355769494,-0.2460622957541734,-0.3192032295055314,-0.30934429193669744,-0.3011031300770209,-0.12839868236501478,,-0.33753060726764206,-0.27670876154052854,-0.365232735032132,-0.4116725329196268,-0.20707279258802433,-0.3397790065160795,-0.3032371308488061,-0.2895855958965636,-0.2863715745834453,-0.39476650153772486,-0.19504825789675673,,-0.45149322664186337,-0.2838067403448728,,,,,,,,,,,,,,,,,,,,,,,,,,-0.27173745534524213,,,,,,,,,,,,,,
HINDUNILVR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.09139627145349737,-0.04026116012544826,0.08722031354370995,0.013377177250250545,-0.025505633865189736,0.011022806894648194,-0.015962584675454354,-0.15062043398572192,,0.03958284123735562,-0.009168860609059906,-0.07142770212724903,-0.05462259856000481,-0.06701088025561852,-0.0096033565790504,,,,,,,,,,,,-0.06849652035164838,-0.05943359129417709,,,-0.05639865265740067,,,,,,
HINDZINC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.26515711603611297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IBULHSGFIN,,,,,,,,,,,,,,,,,,,,,,,,,-0.30860130891914034,-0.11583526744790872,,,,,,,,,,,,-0.12186087777027431,-0.16480161520285092,,,,-0.20351786873968228,-0.03414012826834855,-0.27669266337361276,-0.18877136156542765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICICIBANK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.040556561450977295,0.01792555407554253,-0.03741393370453252,-0.035583695646516214,0.0654188525550798,0.055092457839846655,,,-0.02967206000968576,-0.016407120020084567,-0.45392561668737513,,,,,,,,,,,
ICICIGI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009279421526816718,0.014084822107213606,-0.05781070601617257,-0.043782063957694184,,,,,,,,,,,,
ICICIPRULI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08641087925955432,,-0.037138235205205206,0.053881365514600994,0.040830157769918066,-0.2947396389031293,0.15670634193753794,,,,,,,,,,
INDIGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.005245115269766243,0.08609485260109077,0.1128472434835927,-0.2539308269006984,-0.019270335828611308,-0.08922103772123716,,,,,,,,,,,,,,
INDUSINDBK,,,,,,,,,-0.030821714869530333,-0.07320476546527115,,0.023882020335814054,,,-0.15676300907634605,0.07386631298863257,-0.06684731098760578,,,,,,,,-0.014015322419407377,0.022256127121170276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFY,,,,,,,,,,,,,,,,,,,,,,,,-0.11601544935592828,-0.19817314147394932,-0.2301459977972286,,,,,,,,,,,,,,,,,,,,,,,,,-0.03312986287774001,-0.08063035948179662,-0.1492361285755108,-0.11022278970283661,-0.09875123515538739,0.05384617736199898,,-0.06882634123567852,-0.05942628102569936,-0.08440872831929487,,,,-0.06945994496288356,,,,,,,,,,,,,,0.021602159515539923,0.11714907979181975,-0.02583182720864827,-0.008536596739201974
